,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR18300805.fastq.bam,"1 / 8962
0.01%","0 / 488
0.00%","8929 / 8962
99.63%","0 / 0
NA","168 / 169
99.41%","171 / 172
99.42%","732 / 737
99.32%","13460 / 13587
99.07%","768 / 768
100.00%","0 / 3
0.00%","169 / 170
99.41%","9948 / 10014
99.34%","0 / 947
0.00%","0 / 366
0.00%","2 / 6628
0.03%","0 / 3
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 2492
0.00%","0 / 0
NA","0 / 458
0.00%","8929 / 8962
99.63%","0 / 0
NA","0 / 2803
0.00%","171 / 172
99.42%","13548 / 13587
99.71%","0 / 280
0.00%","172 / 1086
15.84%","0 / 1316
0.00%","172 / 177
97.18%","0 / 3621
0.00%","0 / 5
0.00%","0 / 24
0.00%","0 / 2380
0.00%","0 / 48
0.00%","0 / 490
0.00%","0 / 0
NA","2804 / 2805
99.96%","475 / 488
97.34%","4399 / 4401
99.95%","0 / 169
0.00%","0 / 963
0.00%","0 / 172
0.00%","0 / 0
NA","0 / 463
0.00%","0 / 3133
0.00%","1 / 2805
0.04%","0 / 0
NA","0 / 7008
0.00%","0 / 3090
0.00%","0 / 22
0.00%","0 / 0
NA","0 / 364
0.00%","2974 / 2980
99.80%","177 / 177
100.00%","13477 / 13587
99.19%","0 / 366
0.00%","0 / 4
0.00%","0 / 0
NA","0 / 2804
0.00%"
SRR18300806.fastq.bam,"0 / 4142
0.00%","0 / 417
0.00%","4127 / 4142
99.64%","0 / 0
NA","302 / 302
100.00%","304 / 306
99.35%","0 / 157
0.00%","7613 / 7676
99.18%","978 / 979
99.90%","0 / 1
0.00%","49 / 49
100.00%","4092 / 4116
99.42%","0 / 506
0.00%","0 / 1060
0.00%","1 / 2505
0.04%","0 / 1979
0.00%","0 / 0
NA","0 / 0
NA","0 / 1616
0.00%","0 / 0
NA","0 / 397
0.00%","4127 / 4142
99.64%","0 / 0
NA","0 / 2671
0.00%","304 / 306
99.35%","7644 / 7676
99.58%","0 / 13
0.00%","33 / 366
9.02%","0 / 337
0.00%","305 / 309
98.71%","1 / 1323
0.08%","0 / 1
0.00%","0 / 74
0.00%","0 / 946
0.00%","0 / 68
0.00%","0 / 417
0.00%","0 / 0
NA","2671 / 2673
99.93%","415 / 417
99.52%","2305 / 2308
99.87%","0 / 302
0.00%","0 / 205
0.00%","0 / 306
0.00%","0 / 0
NA","0 / 400
0.00%","0 / 1482
0.00%","1 / 2673
0.04%","0 / 0
NA","0 / 3000
0.00%","0 / 2983
0.00%","0 / 74
0.00%","0 / 0
NA","0 / 92
0.00%","2978 / 2983
99.83%","309 / 343
90.09%","7623 / 7676
99.31%","0 / 0
NA","4 / 1980
0.20%","0 / 0
NA","0 / 2671
0.00%"
SRR18300807.fastq.bam,"6 / 36649
0.02%","0 / 398
0.00%","33358 / 36649
91.02%","0 / 0
NA","638 / 644
99.07%","638 / 652
97.85%","0 / 609
0.00%","21528 / 21986
97.92%","3308 / 3313
99.85%","1 / 5
20.00%","116 / 116
100.00%","3561 / 3582
99.41%","0 / 1330
0.00%","0 / 2040
0.00%","10 / 28474
0.04%","0 / 11
0.00%","0 / 7
0.00%","0 / 0
NA","0 / 3207
0.00%","0 / 0
NA","0 / 365
0.00%","33358 / 36649
91.02%","0 / 0
NA","0 / 6716
0.00%","646 / 652
99.08%","21622 / 21986
98.34%","1 / 302
0.33%","52 / 1019
5.10%","0 / 456
0.00%","651 / 657
99.09%","0 / 5914
0.00%","0 / 1
0.00%","4 / 7646
0.05%","0 / 2341
0.00%","0 / 106
0.00%","0 / 400
0.00%","0 / 1
0.00%","6711 / 6720
99.87%","397 / 398
99.75%","9245 / 9252
99.92%","0 / 644
0.00%","0 / 779
0.00%","0 / 652
0.00%","0 / 0
NA","0 / 365
0.00%","0 / 13778
0.00%","2 / 6720
0.03%","0 / 0
NA","0 / 4072
0.00%","1 / 7475
0.01%","0 / 7585
0.00%","0 / 0
NA","0 / 261
0.00%","7361 / 7375
99.81%","649 / 726
89.39%","21859 / 21986
99.42%","0 / 2041
0.00%","1 / 12
8.33%","0 / 0
NA","0 / 6720
0.00%"
SRR18300808.fastq.bam,"0 / 1480
0.00%","0 / 10
0.00%","1418 / 1480
95.81%","0 / 0
NA","114 / 114
100.00%","122 / 122
100.00%","981 / 1085
90.41%","10531 / 14404
73.11%","556 / 556
100.00%","0 / 1
0.00%","48 / 48
100.00%","1443 / 1450
99.52%","0 / 883
0.00%","0 / 965
0.00%","2 / 8596
0.02%","0 / 6315
0.00%","3 / 3
100.00%","1 / 1
100.00%","0 / 1039
0.00%","0 / 0
NA","0 / 0
NA","1418 / 1480
95.81%","0 / 0
NA","0 / 1263
0.00%","122 / 122
100.00%","14343 / 14404
99.58%","0 / 46
0.00%","26 / 433
6.00%","0 / 381
0.00%","122 / 126
96.83%","3 / 5499
0.05%","0 / 4
0.00%","0 / 7
0.00%","0 / 336
0.00%","1 / 351
0.28%","0 / 0
NA","0 / 3981
0.00%","1261 / 1264
99.76%","0 / 0
NA","6090 / 6093
99.95%","0 / 114
0.00%","0 / 124
0.00%","0 / 122
0.00%","0 / 0
NA","0 / 0
NA","0 / 542
0.00%","0 / 1264
0.00%","0 / 0
NA","0 / 1709
0.00%","0 / 1487
0.00%","0 / 7
0.00%","0 / 0
NA","0 / 347
0.00%","850 / 1390
61.15%","126 / 137
91.97%","10563 / 14404
73.33%","0 / 965
0.00%","11 / 6318
0.17%","0 / 0
NA","347 / 1264
27.45%"
SRR18300809.fastq.bam,"0 / 3
0.00%","0 / 4
0.00%","3 / 3
100.00%","1 / 1
100.00%","0 / 0
NA","0 / 8
0.00%","0 / 155
0.00%","9705 / 9801
99.02%","4508 / 4512
99.91%","0 / 1
0.00%","143 / 143
100.00%","2091 / 2109
99.15%","0 / 7633
0.00%","0 / 0
NA","4 / 14244
0.03%","0 / 3786
0.00%","0 / 10
0.00%","0 / 0
NA","0 / 4236
0.00%","0 / 0
NA","0 / 0
NA","3 / 3
100.00%","0 / 1
0.00%","0 / 0
NA","0 / 0
NA","9745 / 9801
99.43%","1 / 164
0.61%","78 / 427
18.27%","0 / 376
0.00%","0 / 0
NA","3 / 4496
0.07%","0 / 2
0.00%","0 / 1
0.00%","0 / 1192
0.00%","0 / 2
0.00%","0 / 4
0.00%","0 / 0
NA","0 / 0
NA","4 / 4
100.00%","4505 / 4509
99.91%","0 / 9
0.00%","0 / 113
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 3
0.00%","0 / 0
NA","0 / 0
NA","0 / 2926
0.00%","0 / 9
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 45
0.00%","0 / 0
NA","0 / 8
0.00%","9724 / 9801
99.21%","0 / 0
NA","5 / 3793
0.13%","0 / 1
0.00%","0 / 0
NA"
SRR18300810.fastq.bam,"0 / 2520
0.00%","0 / 616
0.00%","2477 / 2520
98.29%","0 / 0
NA","375 / 376
99.73%","380 / 384
98.96%","0 / 297
0.00%","8691 / 8843
98.28%","2182 / 2191
99.59%","0 / 2
0.00%","78 / 79
98.73%","4247 / 4285
99.11%","0 / 3833
0.00%","0 / 203
0.00%","4 / 8481
0.05%","0 / 11588
0.00%","0 / 3
0.00%","1 / 1
100.00%","0 / 3061
0.00%","0 / 0
NA","0 / 560
0.00%","2477 / 2520
98.29%","0 / 0
NA","0 / 2459
0.00%","380 / 384
98.96%","8734 / 8843
98.77%","0 / 13
0.00%","97 / 482
20.12%","0 / 498
0.00%","383 / 392
97.70%","0 / 3809
0.00%","0 / 0
NA","0 / 73
0.00%","0 / 1192
0.00%","0 / 267
0.00%","0 / 617
0.00%","0 / 0
NA","2458 / 2462
99.84%","611 / 616
99.19%","6037 / 6045
99.87%","0 / 376
0.00%","0 / 266
0.00%","0 / 384
0.00%","0 / 0
NA","0 / 563
0.00%","0 / 847
0.00%","0 / 2462
0.00%","0 / 0
NA","0 / 1011
0.00%","1 / 2854
0.04%","0 / 70
0.00%","0 / 0
NA","0 / 66
0.00%","2851 / 2854
99.89%","392 / 453
86.53%","8709 / 8843
98.48%","0 / 203
0.00%","11 / 11589
0.09%","0 / 0
NA","0 / 2461
0.00%"
SRR18300811.fastq.bam,"0 / 4880
0.00%","0 / 377
0.00%","4859 / 4880
99.57%","0 / 0
NA","1094 / 1098
99.64%","1106 / 1111
99.55%","0 / 579
0.00%","9529 / 9612
99.14%","2924 / 2928
99.86%","2807 / 2812
99.82%","168 / 168
100.00%","8057 / 8109
99.36%","0 / 1864
0.00%","0 / 96
0.00%","5 / 6910
0.07%","0 / 4229
0.00%","0 / 1
0.00%","4 / 4
100.00%","0 / 4934
0.00%","0 / 0
NA","0 / 357
0.00%","4859 / 4880
99.57%","0 / 0
NA","0 / 4062
0.00%","1106 / 1111
99.55%","9570 / 9612
99.56%","0 / 89
0.00%","34 / 487
6.98%","0 / 617
0.00%","1111 / 1120
99.20%","4 / 11827
0.03%","0 / 226
0.00%","0 / 8
0.00%","0 / 1385
0.00%","0 / 372
0.00%","0 / 377
0.00%","0 / 0
NA","4059 / 4064
99.88%","377 / 377
100.00%","14797 / 14805
99.95%","0 / 1098
0.00%","0 / 244
0.00%","1 / 1111
0.09%","0 / 0
NA","0 / 358
0.00%","0 / 1816
0.00%","0 / 4064
0.00%","0 / 0
NA","0 / 2255
0.00%","0 / 5184
0.00%","0 / 8
0.00%","0 / 0
NA","0 / 205
0.00%","5171 / 5184
99.75%","1119 / 1128
99.20%","9548 / 9612
99.33%","0 / 96
0.00%","6 / 4230
0.14%","0 / 0
NA","0 / 4064
0.00%"
SRR18490815.fastq.bam,"0 / 2122
0.00%","1 / 280
0.36%","2115 / 2122
99.67%","1 / 1
100.00%","1 / 2
50.00%","3030 / 3196
94.81%","0 / 3184
0.00%","1349 / 1359
99.26%","8020 / 8045
99.69%","0 / 7
0.00%","157 / 158
99.37%","3215 / 3247
99.01%","5 / 5241
0.10%","0 / 1189
0.00%","1 / 769
0.13%","0 / 8164
0.00%","0 / 5
0.00%","0 / 0
NA","1 / 10460
0.01%","0 / 0
NA","0 / 253
0.00%","2115 / 2122
99.67%","0 / 1
0.00%","0 / 1
0.00%","3036 / 3196
94.99%","1353 / 1360
99.49%","0 / 118
0.00%","671 / 1305
51.42%","0 / 217
0.00%","3195 / 3224
99.10%","0 / 5788
0.00%","0 / 11
0.00%","0 / 4
0.00%","0 / 262
0.00%","0 / 77
0.00%","0 / 280
0.00%","0 / 3
0.00%","4930 / 4964
99.32%","280 / 280
100.00%","13903 / 13920
99.88%","0 / 3147
0.00%","0 / 0
NA","3 / 3199
0.09%","0 / 0
NA","0 / 255
0.00%","0 / 754
0.00%","1 / 4964
0.02%","0 / 4
0.00%","0 / 2734
0.00%","0 / 2
0.00%","0 / 3
0.00%","0 / 0
NA","0 / 2640
0.00%","8165 / 8183
99.78%","3217 / 3258
98.74%","1352 / 1359
99.48%","0 / 6
0.00%","8 / 8167
0.10%","0 / 1
0.00%","0 / 1
0.00%"
SRR18490816.fastq.bam,"0 / 2
0.00%","0 / 27
0.00%","0 / 2
0.00%","0 / 0
NA","0 / 61
0.00%","0 / 737
0.00%","0 / 7
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 123
0.00%","8 / 8
100.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 1
0.00%","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 0
NA","0 / 61
0.00%","0 / 0
NA","0 / 5
0.00%","0 / 7
0.00%","0 / 7
0.00%","0 / 9
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 3
0.00%","0 / 177
0.00%","0 / 35
0.00%","0 / 0
NA","0 / 61
0.00%","0 / 27
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 61
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 737
0.00%","0 / 0
NA","0 / 123
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA"
SRR18490817.fastq.bam,"0 / 1
0.00%","0 / 22
0.00%","0 / 2
0.00%","0 / 1
0.00%","171 / 721
23.72%","172 / 740
23.24%","0 / 1
0.00%","0 / 705
0.00%","1630 / 1633
99.82%","0 / 0
NA","27 / 27
100.00%","320 / 323
99.07%","0 / 1018
0.00%","736 / 738
99.73%","563 / 1417
39.73%","0 / 1787
0.00%","0 / 0
NA","0 / 0
NA","2732 / 8693
31.43%","0 / 0
NA","0 / 0
NA","1 / 2
50.00%","0 / 1
0.00%","0 / 293
0.00%","737 / 740
99.59%","702 / 706
99.43%","0 / 20
0.00%","197 / 294
67.01%","0 / 69
0.00%","740 / 742
99.73%","0 / 1236
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 36
0.00%","0 / 143
0.00%","0 / 0
NA","0 / 3
0.00%","293 / 301
97.34%","0 / 0
NA","2881 / 2886
99.83%","0 / 722
0.00%","0 / 2
0.00%","0 / 740
0.00%","0 / 0
NA","0 / 0
NA","0 / 12
0.00%","0 / 301
0.00%","0 / 0
NA","0 / 399
0.00%","0 / 1037
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 259
0.00%","467 / 1037
45.03%","172 / 1176
14.63%","0 / 705
0.00%","0 / 0
NA","1 / 1787
0.06%","0 / 1
0.00%","0 / 293
0.00%"
SRR18490818.fastq.bam,"0 / 1287
0.00%","0 / 38
0.00%","1255 / 1288
97.44%","2 / 2
100.00%","768 / 2143
35.84%","782 / 2202
35.51%","1 / 2269
0.04%","2959 / 4638
63.80%","4665 / 4672
99.85%","0 / 18
0.00%","26 / 26
100.00%","4509 / 4558
98.92%","0 / 2318
0.00%","0 / 77
0.00%","2 / 1273
0.16%","0 / 3375
0.00%","0 / 0
NA","0 / 0
NA","0 / 7088
0.00%","0 / 0
NA","0 / 4
0.00%","1256 / 1288
97.52%","0 / 2
0.00%","0 / 2
0.00%","2176 / 2202
98.82%","4596 / 4639
99.07%","1 / 133
0.75%","226 / 228
99.12%","0 / 61
0.00%","2195 / 2209
99.37%","0 / 2869
0.00%","0 / 18
0.00%","0 / 154
0.00%","0 / 277
0.00%","0 / 32
0.00%","0 / 3
0.00%","0 / 10
0.00%","5424 / 5449
99.54%","0 / 1
0.00%","7579 / 7585
99.92%","0 / 2143
0.00%","0 / 112
0.00%","2 / 2203
0.09%","0 / 0
NA","0 / 1
0.00%","0 / 465
0.00%","1 / 5449
0.02%","0 / 0
NA","0 / 1527
0.00%","1 / 7659
0.01%","0 / 152
0.00%","0 / 0
NA","0 / 0
NA","6233 / 7657
81.40%","789 / 2216
35.60%","2975 / 4638
64.14%","0 / 77
0.00%","4 / 3376
0.12%","0 / 2
0.00%","0 / 2
0.00%"
SRR18490819.fastq.bam,"0 / 30
0.00%","0 / 95
0.00%","23 / 30
76.67%","2 / 2
100.00%","1 / 1
100.00%","2760 / 2786
99.07%","4999 / 5030
99.38%","0 / 4
0.00%","7598 / 7620
99.71%","0 / 0
NA","174 / 175
99.43%","4332 / 4385
98.79%","0 / 9078
0.00%","0 / 0
NA","1 / 2163
0.05%","0 / 10661
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 97
0.00%","23 / 30
76.67%","0 / 2
0.00%","1 / 4094
0.02%","2765 / 2786
99.25%","0 / 4
0.00%","0 / 6
0.00%","0 / 21
0.00%","0 / 1
0.00%","2784 / 2788
99.86%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 177
0.00%","0 / 56
0.00%","0 / 95
0.00%","0 / 2
0.00%","4047 / 4134
97.90%","95 / 95
100.00%","7616 / 7626
99.87%","0 / 2754
0.00%","0 / 0
NA","3 / 2787
0.11%","0 / 0
NA","0 / 98
0.00%","0 / 31
0.00%","2 / 4134
0.05%","0 / 0
NA","0 / 2802
0.00%","0 / 1
0.00%","1 / 30
3.33%","0 / 0
NA","0 / 2174
0.00%","5848 / 6903
84.72%","2782 / 3266
85.18%","0 / 0
NA","0 / 0
NA","16 / 10664
0.15%","0 / 2
0.00%","382 / 4101
9.31%"
SRR18490820.fastq.bam,"0 / 2027
0.00%","0 / 47
0.00%","965 / 2027
47.61%","0 / 0
NA","0 / 1
0.00%","819 / 1942
42.17%","0 / 597
0.00%","2551 / 2579
98.91%","1464 / 1467
99.80%","0 / 52
0.00%","110 / 110
100.00%","1744 / 1755
99.37%","0 / 2276
0.00%","0 / 366
0.00%","0 / 660
0.00%","0 / 10644
0.00%","0 / 4
0.00%","1 / 1
100.00%","0 / 8602
0.00%","0 / 0
NA","0 / 2
0.00%","965 / 2027
47.61%","0 / 0
NA","1 / 2455
0.04%","1929 / 1942
99.33%","2564 / 2582
99.30%","0 / 0
NA","301 / 522
57.66%","0 / 81
0.00%","1943 / 1954
99.44%","0 / 1269
0.00%","0 / 51
0.00%","0 / 12
0.00%","0 / 57
0.00%","0 / 314
0.00%","0 / 0
NA","0 / 569
0.00%","2454 / 2461
99.72%","0 / 0
NA","2752 / 2754
99.93%","0 / 1910
0.00%","0 / 99
0.00%","2 / 1944
0.10%","0 / 0
NA","0 / 2
0.00%","0 / 685
0.00%","0 / 2461
0.00%","0 / 0
NA","0 / 1588
0.00%","0 / 1
0.00%","0 / 11
0.00%","0 / 0
NA","1 / 502
0.20%","2921 / 4420
66.09%","825 / 1965
41.98%","2560 / 2579
99.26%","0 / 366
0.00%","12 / 10644
0.11%","0 / 0
NA","123 / 2458
5.00%"
SRR18490821.fastq.bam,"0 / 1
0.00%","0 / 75
0.00%","0 / 0
NA","0 / 0
NA","540 / 542
99.63%","0 / 684
0.00%","4 / 6
66.67%","1068 / 1075
99.35%","2770 / 2783
99.53%","0 / 0
NA","32 / 32
100.00%","777 / 784
99.11%","1 / 804
0.12%","0 / 309
0.00%","2 / 1855
0.11%","0 / 2
0.00%","0 / 0
NA","0 / 0
NA","0 / 666
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 542
0.00%","0 / 0
NA","1073 / 1075
99.81%","0 / 6
0.00%","102 / 223
45.74%","0 / 248
0.00%","0 / 13
0.00%","1 / 2048
0.05%","0 / 0
NA","0 / 15
0.00%","0 / 197
0.00%","0 / 143
0.00%","0 / 0
NA","0 / 0
NA","542 / 558
97.13%","0 / 0
NA","4848 / 4861
99.73%","0 / 544
0.00%","0 / 73
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 558
0.00%","0 / 0
NA","0 / 2662
0.00%","0 / 544
0.00%","0 / 15
0.00%","0 / 0
NA","0 / 190
0.00%","542 / 544
99.63%","0 / 684
0.00%","1069 / 1075
99.44%","0 / 309
0.00%","0 / 3
0.00%","0 / 0
NA","0 / 542
0.00%"
SRR18490822.fastq.bam,"0 / 1
0.00%","0 / 27
0.00%","0 / 1
0.00%","0 / 0
NA","0 / 5
0.00%","0 / 120
0.00%","0 / 156
0.00%","721 / 723
99.72%","0 / 0
NA","0 / 26
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 1
0.00%","0 / 0
NA","0 / 5
0.00%","0 / 0
NA","722 / 724
99.72%","0 / 4
0.00%","0 / 9
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 26
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 5
0.00%","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 1
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 7
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 120
0.00%","723 / 723
100.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA"
SRR18490823.fastq.bam,"0 / 13
0.00%","0 / 107
0.00%","0 / 13
0.00%","0 / 0
NA","2825 / 2832
99.75%","0 / 674
0.00%","0 / 7
0.00%","0 / 7
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","9210 / 9305
98.98%","0 / 8173
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 8724
0.00%","0 / 0
NA","0 / 0
NA","0 / 13
0.00%","0 / 0
NA","0 / 2829
0.00%","0 / 1
0.00%","0 / 7
0.00%","1 / 8
12.50%","0 / 7
0.00%","0 / 110
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 6
0.00%","0 / 3
0.00%","1 / 602
0.17%","0 / 1
0.00%","0 / 0
NA","2831 / 2947
96.06%","0 / 0
NA","0 / 0
NA","1 / 2848
0.04%","0 / 2
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 21
0.00%","0 / 2947
0.00%","0 / 1
0.00%","0 / 37
0.00%","1 / 2848
0.04%","0 / 4
0.00%","0 / 0
NA","0 / 0
NA","2834 / 2839
99.82%","0 / 673
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 2833
0.00%"
SRR18490824.fastq.bam,"0 / 2
0.00%","0 / 39
0.00%","0 / 2
0.00%","0 / 0
NA","0 / 5
0.00%","0 / 1023
0.00%","0 / 6
0.00%","0 / 4
0.00%","0 / 0
NA","0 / 0
NA","143 / 144
99.31%","1734 / 1751
99.03%","2499 / 2500
99.96%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","6847 / 6857
99.85%","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 0
NA","0 / 5
0.00%","0 / 0
NA","0 / 4
0.00%","0 / 0
NA","0 / 2
0.00%","0 / 127
0.00%","0 / 16
0.00%","0 / 0
NA","0 / 0
NA","0 / 6
0.00%","0 / 93
0.00%","0 / 0
NA","0 / 0
NA","0 / 946
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 0
NA","0 / 8
0.00%","0 / 210
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 2
0.00%","0 / 5
0.00%","0 / 0
NA","0 / 0
NA","0 / 8
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 1023
0.00%","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA","0 / 0
NA"
